activate torch environment
mlp Activated Successfully

20230520-04:28:44
running: cuda, 	epoch: 150, 	batch: 64, 	lr: 0.08
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 64, 128, 128]           1,792
              ReLU-2         [-1, 64, 128, 128]               0
            Conv2d-3         [-1, 64, 128, 128]          36,928
       BatchNorm2d-4         [-1, 64, 128, 128]             128
              ReLU-5         [-1, 64, 128, 128]               0
            Conv2d-6         [-1, 64, 128, 128]          36,928
       BatchNorm2d-7         [-1, 64, 128, 128]             128
              ReLU-8         [-1, 64, 128, 128]               0
            Conv2d-9         [-1, 64, 128, 128]          36,928
      BatchNorm2d-10         [-1, 64, 128, 128]             128
             ReLU-11         [-1, 64, 128, 128]               0
           Conv2d-12         [-1, 64, 128, 128]          36,928
      BatchNorm2d-13         [-1, 64, 128, 128]             128
             ReLU-14         [-1, 64, 128, 128]               0
           Conv2d-15         [-1, 64, 128, 128]          36,928
      BatchNorm2d-16         [-1, 64, 128, 128]             128
             ReLU-17         [-1, 64, 128, 128]               0
           Conv2d-18         [-1, 64, 128, 128]          36,928
      BatchNorm2d-19         [-1, 64, 128, 128]             128
             ReLU-20         [-1, 64, 128, 128]               0
           Conv2d-21         [-1, 64, 128, 128]          36,928
      BatchNorm2d-22         [-1, 64, 128, 128]             128
             ReLU-23         [-1, 64, 128, 128]               0
           Conv2d-24         [-1, 64, 128, 128]          36,928
      BatchNorm2d-25         [-1, 64, 128, 128]             128
             ReLU-26         [-1, 64, 128, 128]               0
           Conv2d-27         [-1, 64, 128, 128]          36,928
      BatchNorm2d-28         [-1, 64, 128, 128]             128
             ReLU-29         [-1, 64, 128, 128]               0
           Conv2d-30         [-1, 64, 128, 128]          36,928
      BatchNorm2d-31         [-1, 64, 128, 128]             128
             ReLU-32         [-1, 64, 128, 128]               0
           Conv2d-33         [-1, 64, 128, 128]          36,928
      BatchNorm2d-34         [-1, 64, 128, 128]             128
             ReLU-35         [-1, 64, 128, 128]               0
           Conv2d-36         [-1, 64, 128, 128]          36,928
      BatchNorm2d-37         [-1, 64, 128, 128]             128
             ReLU-38         [-1, 64, 128, 128]               0
           Conv2d-39         [-1, 64, 128, 128]          36,928
      BatchNorm2d-40         [-1, 64, 128, 128]             128
             ReLU-41         [-1, 64, 128, 128]               0
           Conv2d-42         [-1, 64, 128, 128]          36,928
      BatchNorm2d-43         [-1, 64, 128, 128]             128
             ReLU-44         [-1, 64, 128, 128]               0
           Conv2d-45         [-1, 64, 128, 128]          36,928
      BatchNorm2d-46         [-1, 64, 128, 128]             128
             ReLU-47         [-1, 64, 128, 128]               0
           Conv2d-48          [-1, 3, 128, 128]           1,731
================================================================
Total params: 559,363
Trainable params: 559,363
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.19
Forward/backward pass size (MB): 376.38
Params size (MB): 2.13
Estimated Total Size (MB): 378.70
----------------------------------------------------------------
None
모델 학습 시작
Time: 50초 	Epoch 1/150, 	Loss: 2.1270
1epoch 모델 저장 완료
Time: 49초 	Epoch 2/150, 	Loss: 0.0444
2epoch 모델 저장 완료
Time: 49초 	Epoch 3/150, 	Loss: 0.0443
3epoch 모델 저장 완료
Time: 49초 	Epoch 4/150, 	Loss: 0.0446
Time: 49초 	Epoch 5/150, 	Loss: 0.0441
5epoch 모델 저장 완료
Time: 49초 	Epoch 6/150, 	Loss: 0.0443
Time: 49초 	Epoch 7/150, 	Loss: 0.0447
Time: 49초 	Epoch 8/150, 	Loss: 0.0445
Time: 49초 	Epoch 9/150, 	Loss: 0.0443
Time: 49초 	Epoch 10/150, 	Loss: 0.0444
Time: 49초 	Epoch 11/150, 	Loss: 0.0442
Time: 49초 	Epoch 12/150, 	Loss: 0.0445
Time: 49초 	Epoch 13/150, 	Loss: 0.0447
Time: 49초 	Epoch 14/150, 	Loss: 0.0445
Time: 49초 	Epoch 15/150, 	Loss: 0.0444
Time: 49초 	Epoch 16/150, 	Loss: 0.0445
Time: 49초 	Epoch 17/150, 	Loss: 0.0443
Time: 49초 	Epoch 18/150, 	Loss: 0.0449
Time: 49초 	Epoch 19/150, 	Loss: 0.0445
Time: 49초 	Epoch 20/150, 	Loss: 0.0442
Time: 49초 	Epoch 21/150, 	Loss: 0.0448
Time: 49초 	Epoch 22/150, 	Loss: 0.0445
Time: 49초 	Epoch 23/150, 	Loss: 0.0450
Time: 49초 	Epoch 24/150, 	Loss: 0.0449
Time: 49초 	Epoch 25/150, 	Loss: 0.0448
Time: 49초 	Epoch 26/150, 	Loss: 0.0454
Time: 49초 	Epoch 27/150, 	Loss: 0.0448
Time: 49초 	Epoch 28/150, 	Loss: 0.0444
Time: 49초 	Epoch 29/150, 	Loss: 0.0449
Time: 49초 	Epoch 30/150, 	Loss: 0.0450
Time: 49초 	Epoch 31/150, 	Loss: 0.0443
Time: 49초 	Epoch 32/150, 	Loss: 0.0454
Time: 49초 	Epoch 33/150, 	Loss: 0.0443
Time: 49초 	Epoch 34/150, 	Loss: 0.0449
Time: 49초 	Epoch 35/150, 	Loss: 0.0449
Time: 49초 	Epoch 36/150, 	Loss: 0.0447
Time: 49초 	Epoch 37/150, 	Loss: 0.0446
Time: 49초 	Epoch 38/150, 	Loss: 0.0444
Time: 49초 	Epoch 39/150, 	Loss: 0.0442
Time: 49초 	Epoch 40/150, 	Loss: 0.0442
Time: 49초 	Epoch 41/150, 	Loss: 0.0441
Time: 49초 	Epoch 42/150, 	Loss: 0.0450
Time: 49초 	Epoch 43/150, 	Loss: 0.0442
Time: 49초 	Epoch 44/150, 	Loss: 0.0447
Time: 49초 	Epoch 45/150, 	Loss: 0.0448
Time: 49초 	Epoch 46/150, 	Loss: 0.0453
Time: 49초 	Epoch 47/150, 	Loss: 0.0449
Time: 49초 	Epoch 48/150, 	Loss: 0.0446
Time: 49초 	Epoch 49/150, 	Loss: 0.0447
Time: 49초 	Epoch 50/150, 	Loss: 0.0445
Time: 49초 	Epoch 51/150, 	Loss: 0.0449
